# Accumulated Berry phases using Wilson Loop method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
4.265926	244.419536	0.000000	-2.132963	-2.132963	0.000000
4.286048	245.572458	0.000000	-2.143024	-2.143024	0.000000
4.306170	246.725380	0.000000	-2.153085	-2.153085	0.000000
4.326293	247.878303	0.000000	-2.163146	-2.163146	0.000000
4.346415	249.031225	0.000000	-2.173207	-2.173207	0.000000
4.366537	250.184147	0.000000	-2.183269	-2.183269	0.000000
4.386659	251.337070	0.000000	-2.193330	-2.193330	0.000000
4.406782	252.489992	0.000000	-2.203391	-2.203391	0.000000
4.426904	253.642914	0.000000	-2.213452	-2.213452	0.000000
4.447026	254.795837	0.000000	-2.223513	-2.223513	0.000000
4.467149	255.948759	0.000000	-2.233574	-2.233574	0.000000
4.487271	257.101681	0.000000	-2.243635	-2.243635	0.000000
4.507393	258.254604	0.000000	-2.253697	-2.253697	0.000000
4.527515	259.407526	0.000000	-2.263758	-2.263758	0.000000
4.547638	260.560448	0.000000	-2.273819	-2.273819	0.000000
4.567760	261.713371	0.000000	-2.283880	-2.283880	0.000000
4.587882	262.866293	0.000000	-2.293941	-2.293941	0.000000
4.608005	264.019215	0.000000	-2.304002	-2.304002	0.000000
4.628127	265.172138	0.000000	-2.314063	-2.314063	0.000000
4.648249	266.325060	0.000000	-2.324125	-2.324125	0.000000
4.668371	267.477982	0.000000	-2.334186	-2.334186	0.000000
4.688494	268.630905	0.000000	-2.344247	-2.344247	0.000000
4.708616	269.783827	0.000000	-2.354308	-2.354308	0.000000
4.728738	270.936749	0.000000	-2.364369	-2.364369	0.000000
4.748861	272.089672	0.000000	-2.374430	-2.374430	0.000000
4.768983	273.242594	0.000000	-2.384491	-2.384491	0.000000
4.789105	274.395516	0.000000	-2.394553	-2.394553	0.000000
4.809228	275.548439	0.000000	-2.404614	-2.404614	0.000000
4.829350	276.701361	0.000000	-2.414675	-2.414675	0.000000
4.849472	277.854283	0.000000	-2.424736	-2.424736	0.000000
4.869594	279.007206	0.000000	-2.434797	-2.434797	0.000000
4.889717	280.160128	0.000000	-2.444858	-2.444858	0.000000
