# Accumulated Berry phases using Original method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
1.992107	114.139311	0.000000	-0.996053	-0.996053	0.000000
2.002168	114.715773	0.000000	-1.001084	-1.001084	0.000000
2.012229	115.292234	0.000000	-1.006115	-1.006115	0.000000
2.022290	115.868695	0.000000	-1.011145	-1.011145	0.000000
2.032351	116.445156	0.000000	-1.016176	-1.016176	0.000000
2.042413	117.021617	0.000000	-1.021206	-1.021206	0.000000
2.052474	117.598078	0.000000	-1.026237	-1.026237	0.000000
2.062535	118.174540	0.000000	-1.031267	-1.031267	0.000000
2.072596	118.751001	0.000000	-1.036298	-1.036298	0.000000
2.082657	119.327462	0.000000	-1.041329	-1.041329	0.000000
2.092718	119.903923	0.000000	-1.046359	-1.046359	0.000000
2.102779	120.480384	0.000000	-1.051390	-1.051390	0.000000
2.112841	121.056845	0.000000	-1.056420	-1.056420	0.000000
2.122902	121.633307	0.000000	-1.061451	-1.061451	0.000000
2.132963	122.209768	0.000000	-1.066481	-1.066481	0.000000
2.143024	122.786229	0.000000	-1.071512	-1.071512	0.000000
2.153085	123.362690	0.000000	-1.076543	-1.076543	0.000000
2.163146	123.939151	0.000000	-1.081573	-1.081573	0.000000
2.173207	124.515612	0.000000	-1.086604	-1.086604	0.000000
2.183269	125.092074	0.000000	-1.091634	-1.091634	0.000000
2.193330	125.668535	0.000000	-1.096665	-1.096665	0.000000
2.203391	126.244996	0.000000	-1.101695	-1.101695	0.000000
2.213452	126.821457	0.000000	-1.106726	-1.106726	0.000000
2.223513	127.397918	0.000000	-1.111757	-1.111757	0.000000
2.233574	127.974380	0.000000	-1.116787	-1.116787	0.000000
2.243635	128.550841	0.000000	-1.121818	-1.121818	0.000000
2.253697	129.127302	0.000000	-1.126848	-1.126848	0.000000
2.263758	129.703763	0.000000	-1.131879	-1.131879	0.000000
2.273819	130.280224	0.000000	-1.136909	-1.136909	0.000000
2.283880	130.856685	0.000000	-1.141940	-1.141940	0.000000
2.293941	131.433147	0.000000	-1.146971	-1.146971	0.000000
2.304002	132.009608	0.000000	-1.152001	-1.152001	0.000000
2.314063	132.586069	0.000000	-1.157032	-1.157032	0.000000
2.324125	133.162530	0.000000	-1.162062	-1.162062	0.000000
2.334186	133.738991	0.000000	-1.167093	-1.167093	0.000000
2.344247	134.315452	0.000000	-1.172123	-1.172123	0.000000
2.354308	134.891914	0.000000	-1.177154	-1.177154	0.000000
2.364369	135.468375	0.000000	-1.182185	-1.182185	0.000000
2.374430	136.044836	0.000000	-1.187215	-1.187215	0.000000
2.384491	136.621297	0.000000	-1.192246	-1.192246	0.000000
2.394553	137.197758	0.000000	-1.197276	-1.197276	0.000000
2.404614	137.774219	0.000000	-1.202307	-1.202307	0.000000
2.414675	138.350681	0.000000	-1.207337	-1.207337	0.000000
2.424736	138.927142	0.000000	-1.212368	-1.212368	0.000000
2.434797	139.503603	0.000000	-1.217399	-1.217399	0.000000
2.444858	140.080064	0.000000	-1.222429	-1.222429	0.000000
2.454919	140.656525	0.000000	-1.227460	-1.227460	0.000000
2.464981	141.232986	0.000000	-1.232490	-1.232490	0.000000
2.475042	141.809448	0.000000	-1.237521	-1.237521	0.000000
2.485103	142.385909	0.000000	-1.242551	-1.242551	0.000000
2.495164	142.962370	0.000000	-1.247582	-1.247582	0.000000
2.505225	143.538831	0.000000	-1.252613	-1.252613	0.000000
2.515286	144.115292	0.000000	-1.257643	-1.257643	0.000000
2.525347	144.691753	0.000000	-1.262674	-1.262674	0.000000
2.535409	145.268215	0.000000	-1.267704	-1.267704	0.000000
2.545470	145.844676	0.000000	-1.272735	-1.272735	0.000000
2.555531	146.421137	0.000000	-1.277765	-1.277765	0.000000
2.565592	146.997598	0.000000	-1.282796	-1.282796	0.000000
2.575653	147.574059	0.000000	-1.287827	-1.287827	0.000000
2.585714	148.150520	0.000000	-1.292857	-1.292857	0.000000
2.595776	148.726982	0.000000	-1.297888	-1.297888	0.000000
2.605837	149.303443	0.000000	-1.302918	-1.302918	0.000000
2.615898	149.879904	0.000000	-1.307949	-1.307949	0.000000
2.625959	150.456365	0.000000	-1.312979	-1.312979	0.000000
2.636020	151.032826	0.000000	-1.318010	-1.318010	0.000000
2.646081	151.609287	0.000000	-1.323041	-1.323041	0.000000
2.656142	152.185749	0.000000	-1.328071	-1.328071	0.000000
2.666204	152.762210	0.000000	-1.333102	-1.333102	0.000000
2.676265	153.338671	0.000000	-1.338132	-1.338132	0.000000
2.686326	153.915132	0.000000	-1.343163	-1.343163	0.000000
2.696387	154.491593	0.000000	-1.348193	-1.348193	0.000000
2.706448	155.068054	0.000000	-1.353224	-1.353224	0.000000
2.716509	155.644516	0.000000	-1.358255	-1.358255	0.000000
2.726570	156.220977	0.000000	-1.363285	-1.363285	0.000000
2.736632	156.797438	0.000000	-1.368316	-1.368316	0.000000
2.746693	157.373899	0.000000	-1.373346	-1.373346	0.000000
2.756754	157.950360	0.000000	-1.378377	-1.378377	0.000000
2.766815	158.526821	0.000000	-1.383407	-1.383407	0.000000
2.776876	159.103283	0.000000	-1.388438	-1.388438	0.000000
2.786937	159.679744	0.000000	-1.393469	-1.393469	0.000000
2.796998	160.256205	0.000000	-1.398499	-1.398499	0.000000
2.807060	160.832666	0.000000	-1.403530	-1.403530	0.000000
2.817121	161.409127	0.000000	-1.408560	-1.408560	0.000000
2.827182	161.985588	0.000000	-1.413591	-1.413591	0.000000
2.837243	162.562050	0.000000	-1.418622	-1.418622	0.000000
2.847304	163.138511	0.000000	-1.423652	-1.423652	0.000000
